date_debut,PARIS Centre PM10,PARIS stade Lenglen PM10,Bld Périphérique Est PM10,PARIS Centre NO2,PARIS stade Lenglen NO2,Bld Périphérique Est NO2,PARIS Centre O3,PARIS stade Lenglen O3,Bld Périphérique Est O3
2017-09-01T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-01T01:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-01T02:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-01T03:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-01T04:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-01T05:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-01T06:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-01T07:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-01T09:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-01T10:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-01T11:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-01T12:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-01T13:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-01T14:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-01T15:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-01T16:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-01T17:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-01T18:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-01T19:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-01T20:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-01T21:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-01T22:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-01T23:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-02T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-02T01:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-02T02:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-02T03:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-02T04:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-02T05:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-02T06:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-02T07:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-02T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-02T09:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
