"co2","date_heure","temperature","no","no2","humidite","particules_fines"
612,"2013-01-01T01:00:00+00:00",15.1,23,41,65.6,26
536,"2013-01-01T02:00:00+00:00",14.9,43,61,65,18
490,"2013-01-01T03:00:00+00:00",14.9,22,52,63.3,45
481,"2013-01-01T04:00:00+00:00",14.9,27,56,63.7,22
464,"2013-01-01T05:00:00+00:00",15,27,57,63.3,15
455,"2013-01-01T06:00:00+00:00",15.1,20,50,63.2,17
442,"2013-01-01T07:00:00+00:00",14.9,24,51,63.7,17
426,"2013-01-01T08:00:00+00:00",14.8,10,37,64.1,20
427,"2013-01-01T09:00:00+00:00",14.5,11,40,64,13
431,"2013-01-01T10:00:00+00:00",14.4,11,42,61.7,7
437,"2013-01-01T11:00:00+00:00",14.6,18,52,58.2,8
448,"2013-01-01T12:00:00+00:00",14.4,19,58,54.1,7
452,"2013-01-01T13:00:00+00:00",14.4,15,55,50.4,NA
473,"2013-01-01T14:00:00+00:00",14.6,33,73,48.9,18
488,"2013-01-01T15:00:00+00:00",14.6,29,72,48.7,26
512,"2013-01-01T16:00:00+00:00",14.5,35,77,48.4,27
553,"2013-01-01T17:00:00+00:00",14.5,75,94,51.6,46
545,"2013-01-01T18:00:00+00:00",14.5,65,94,54.2,41
526,"2013-01-01T19:00:00+00:00",14.2,72,95,53.9,17
495,"2013-01-01T20:00:00+00:00",14.1,34,75,52.5,21
481,"2013-01-01T21:00:00+00:00",13.9,37,71,51.9,22
469,"2013-01-01T22:00:00+00:00",13.6,24,66,51.8,22
473,"2013-01-01T23:00:00+00:00",13.5,22,66,51.7,27
456,"2013-01-02T00:00:00+00:00",13.6,20,60,50.9,25
430,"2013-01-02T01:00:00+00:00",13.8,17,54,49,23
428,"2013-01-02T02:00:00+00:00",13.8,12,47,48.6,18
430,"2013-01-02T03:00:00+00:00",13.8,11,45,48.8,16
435,"2013-01-02T04:00:00+00:00",13.7,8,42,48.9,13
437,"2013-01-02T05:00:00+00:00",13.2,9,43,50.2,16
448,"2013-01-02T06:00:00+00:00",12.5,55,67,52.6,20
455,"2013-01-02T07:00:00+00:00",12.1,73,73,54.2,32
508,"2013-01-02T08:00:00+00:00",12.1,107,80,55.9,52
553,"2013-01-02T09:00:00+00:00",12.8,106,73,55.2,85
532,"2013-01-02T10:00:00+00:00",13,86,71,54.7,90
496,"2013-01-02T11:00:00+00:00",13.2,96,80,54.2,49
516,"2013-01-02T12:00:00+00:00",13.7,89,80,54.8,42
534,"2013-01-02T13:00:00+00:00",14.2,70,72,54.1,49
568,"2013-01-02T14:00:00+00:00",14.6,95,76,54.4,55
554,"2013-01-02T15:00:00+00:00",14.6,81,73,54.5,58
