"rr3";"temps_present";"tc";"pres";"dd";"ww";"cod_tend";"ff";"date";"n"
0.6;"Nuages en formation ou en train de se développer";7.10000000000002;99990;220;3;3;4.1;2013-12-31 21:00:00;100
2;"Pluie, sans congélation, intermittente, faible au moment de l’observation";6.60000000000002;99870;200;60;3;3.1;2013-12-31 18:00:00;100
0;"État du ciel inchangé dans l’ensemble";8.80000000000001;99830;170;2;6;3.6;2013-12-31 15:00:00;90
0;"Nuages en formation ou en train de se développer";8;100050;180;3;8;5.1;2013-12-31 12:00:00;90
0;"État du ciel inchangé dans l’ensemble";6;100310;170;2;6;3.6;2013-12-31 09:00:00;90
0.2;"On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution";5.60000000000002;100430;180;0;6;3.6;2013-12-31 06:00:00;90
0;"État du ciel inchangé dans l’ensemble";5.80000000000001;100610;190;2;7;3.1;2013-12-31 03:00:00;90
0;"Nuages en formation ou en train de se développer";5.90000000000003;100770;190;3;8;3.6;2013-12-31 00:00:00;90
0;"Dans l’ensemble, nuages se dissipant ou devenant moins épais";5.5;100890;200;1;8;3.6;2013-12-30 21:00:00;25
1;"Nuages en formation ou en train de se développer";5.90000000000003;100900;190;3;5;3.6;2013-12-30 18:00:00;90
0.2;"Pluie, sans congélation, continue, faible au moment de l’observation";6.20000000000005;100910;190;61;5;4.6;2013-12-30 15:00:00;90
0;"État du ciel inchangé dans l’ensemble";6.10000000000002;101020;190;2;8;5.1;2013-12-30 12:00:00;90
0;"État du ciel inchangé dans l’ensemble";3.70000000000005;101190;180;2;8;5.7;2013-12-30 09:00:00;75
0;"État du ciel inchangé dans l’ensemble";2.10000000000002;101290;180;2;6;3.6;2013-12-30 06:00:00;60
0;"État du ciel inchangé dans l’ensemble";1.60000000000002;101430;180;2;6;3.1;2013-12-30 03:00:00;0
0;"État du ciel inchangé dans l’ensemble";2.10000000000002;101520;190;2;2;3.6;2013-12-30 00:00:00;0
0;"État du ciel inchangé dans l’ensemble";3.40000000000003;101470;190;2;1;2.6;2013-12-29 21:00:00;40
0;"État du ciel inchangé dans l’ensemble";5.40000000000003;101390;190;2;3;2.6;2013-12-29 18:00:00;10
0;"État du ciel inchangé dans l’ensemble";9.10000000000002;101160;240;2;3;3.1;2013-12-29 15:00:00;40
0;"État du ciel inchangé dans l’ensemble";8.30000000000001;100950;280;2;1;3.1;2013-12-29 12:00:00;25
0;"État du ciel inchangé dans l’ensemble";4.30000000000001;100740;240;2;3;4.1;2013-12-29 09:00:00;50
0;"État du ciel inchangé dans l’ensemble";5;100350;260;2;3;4.6;2013-12-29 06:00:00;90
0;"État du ciel inchangé dans l’ensemble";4.90000000000003;100120;210;2;3;3.6;2013-12-29 03:00:00;90
0;"État du ciel inchangé dans l’ensemble";5;99970;220;2;1;4.1;2013-12-29 00:00:00;50
0;"État du ciel inchangé dans l’ensemble";5.40000000000003;99810;210;2;2;4.6;2013-12-28 21:00:00;40
0;"Dans l’ensemble, nuages se dissipant ou devenant moins épais";5.40000000000003;99590;230;1;3;3.6;2013-12-28 18:00:00;60
0;"Pluie (ne se congelant pas)";7.20000000000005;99330;250;21;3;1.5;2013-12-28 15:00:00;90
0;"État du ciel inchangé dans l’ensemble";8.80000000000001;99180;250;2;1;1.5;2013-12-28 12:00:00;90
0;"État du ciel inchangé dans l’ensemble";6.90000000000003;99070;270;2;3;2.1;2013-12-28 09:00:00;75
3;"Pluie (ne se congelant pas)";7.60000000000002;98810;270;21;3;1.5;2013-12-28 06:00:00;90
3;"Pluie, sans congélation, continue, modérée au moment de l’observation";10.5;98580;200;63;6;4.6;2013-12-28 03:00:00;100
0.4;"Pluie, sans congélation, intermittente, faible au moment de l’observation";11.3;98620;200;60;8;7.2;2013-12-28 00:00:00;100
2;"Pluie, sans congélation, continue, faible au moment de l’observation";12.1;98710;210;61;0;7.7;2013-12-27 21:00:00;100
0;"Pluie, sans congélation, intermittente, faible au moment de l’observation";12.1;98700;210;60;3;7.2;2013-12-27 18:00:00;90
0;"Dans l’ensemble, nuages se dissipant ou devenant moins épais";12.6;98630;210;1;5;7.7;2013-12-27 15:00:00;90
0;"État du ciel inchangé dans l’ensemble";11.1;98720;210;2;8;7.7;2013-12-27 12:00:00;100
0;"Pluie, sans congélation, intermittente, faible au moment de l’observation";8.5;98840;200;60;6;7.7;2013-12-27 09:00:00;100
0.4;"Nuages en formation ou en train de se développer";7.40000000000003;98940;200;3;8;8.2;2013-12-27 06:00:00;100
0.4;"Pluie, sans congélation, continue, faible au moment de l’observation";5.80000000000001;99230;200;61;8;6.2;2013-12-27 03:00:00;100
0;"État du ciel inchangé dans l’ensemble";4.30000000000001;99440;200;2;6;4.6;2013-12-27 00:00:00;90
0;"État du ciel inchangé dans l’ensemble";4;99560;200;2;0;3.6;2013-12-26 21:00:00;10
0;"État du ciel inchangé dans l’ensemble";5.10000000000002;99490;230;2;3;3.1;2013-12-26 18:00:00;0
0;"État du ciel inchangé dans l’ensemble";8.70000000000005;99240;260;2;3;3.6;2013-12-26 15:00:00;25
0;"État du ciel inchangé dans l’ensemble";7.90000000000003;98970;290;2;1;5.1;2013-12-26 12:00:00;50
0;"État du ciel inchangé dans l’ensemble";4;98760;260;2;3;2.6;2013-12-26 09:00:00;40
0;"État du ciel inchangé dans l’ensemble";4.70000000000005;98440;220;2;3;1.5;2013-12-26 06:00:00;90
0;"État du ciel inchangé dans l’ensemble";5.30000000000001;98240;220;2;1;2.1;2013-12-26 03:00:00;90
0;"Nuages en formation ou en train de se développer";5.30000000000001;98010;200;3;3;3.1;2013-12-26 00:00:00;75
0.8;"Dans l’ensemble, nuages se dissipant ou devenant moins épais";5.80000000000001;97970;190;1;4;2.1;2013-12-25 21:00:00;90
0;"Nuages en formation ou en train de se développer";6.20000000000005;97970;140;3;4;2.6;2013-12-25 18:00:00;90
0;"Dans l’ensemble, nuages se dissipant ou devenant moins épais";8.60000000000002;97980;170;1;6;3.1;2013-12-25 15:00:00;75
0;"Averse(s) de pluie, faible(s)";8.20000000000005;98000;180;80;0;3.6;2013-12-25 12:00:00;90
0;"État du ciel inchangé dans l’ensemble";6.90000000000003;98000;190;2;8;1.5;2013-12-25 09:00:00;60
0;"Nuages en formation ou en train de se développer";7.30000000000001;98040;200;3;3;2.6;2013-12-25 06:00:00;90
0;"Dans l’ensemble, nuages se dissipant ou devenant moins épais";8.20000000000005;97880;230;1;1;5.1;2013-12-25 03:00:00;90
6;"Pluie, sans congélation, intermittente, faible au moment de l’observation";9.70000000000005;97620;230;60;5;6.2;2013-12-25 00:00:00;90
5;"Pluie, sans congélation, continue, modérée au moment de l’observation";9.60000000000002;97640;190;63;8;4.1;2013-12-24 21:00:00;100
3;"Pluie, sans congélation, continue, faible au moment de l’observation";8.70000000000005;97940;190;61;2;3.6;2013-12-24 18:00:00;100
0.6;"Pluie, sans congélation, continue, faible au moment de l’observation";11;97880;200;61;6;8.7;2013-12-24 15:00:00;100
1;"Pluie, sans congélation, intermittente, faible au moment de l’observation";10.4;98070;200;60;8;10.3;2013-12-24 12:00:00;100
3;"Pluie, sans congélation, intermittente, faible au moment de l’observation";9.80000000000001;98230;190;60;7;11.3;2013-12-24 09:00:00;100
0.6;"Pluie, sans congélation, continue, faible au moment de l’observation";9.40000000000003;98460;200;61;6;10.3;2013-12-24 06:00:00;100
0;"État du ciel inchangé dans l’ensemble";10.6;98690;200;2;6;10.3;2013-12-24 03:00:00;100
0;"État du ciel inchangé dans l’ensemble";11.2;98980;200;2;8;8.7;2013-12-24 00:00:00;90
0;"État du ciel inchangé dans l’ensemble";10.8;99280;190;2;8;8.2;2013-12-23 21:00:00;100
0;"État du ciel inchangé dans l’ensemble";11.5;99550;190;2;6;9.3;2013-12-23 18:00:00;90
0;"État du ciel inchangé dans l’ensemble";11.8;99910;200;2;6;8.2;2013-12-23 15:00:00;90
0;"Dans l’ensemble, nuages se dissipant ou devenant moins épais";10.6;100290;200;1;8;8.2;2013-12-23 12:00:00;90
0;"État du ciel inchangé dans l’ensemble";8.80000000000001;100640;200;2;6;6.2;2013-12-23 09:00:00;90
0;"État du ciel inchangé dans l’ensemble";8.10000000000002;100840;200;2;6;4.6;2013-12-23 06:00:00;90
0;"État du ciel inchangé dans l’ensemble";6.80000000000001;100980;200;2;0;2.6;2013-12-23 03:00:00;90
0;"Dans l’ensemble, nuages se dissipant ou devenant moins épais";7.5;100980;210;1;0;3.6;2013-12-23 00:00:00;25
3;"Dans l’ensemble, nuages se dissipant ou devenant moins épais";8.70000000000005;100900;220;1;1;4.6;2013-12-22 21:00:00;50
6;"Pluie (ne se congelant pas)";9.60000000000002;100740;230;21;1;5.7;2013-12-22 18:00:00;60
0;"Dans l’ensemble, nuages se dissipant ou devenant moins épais";10.1;100650;210;1;6;7.2;2013-12-22 15:00:00;90
0;"État du ciel inchangé dans l’ensemble";9;100780;220;2;8;7.2;2013-12-22 12:00:00;100
0.2;"Pluie, sans congélation, intermittente, faible au moment de l’observation";8.40000000000003;100830;210;60;8;7.7;2013-12-22 09:00:00;100
0;"État du ciel inchangé dans l’ensemble";7.90000000000003;100890;210;2;8;5.7;2013-12-22 06:00:00;100
0;"État du ciel inchangé dans l’ensemble";7.10000000000002;101000;210;2;6;6.2;2013-12-22 03:00:00;100
